experiment_id,exp_label,seed,seq_len,pre_len,ablation,use_diffusion,use_pe_graph,use_pe_film,test_rmse,test_mae,test_mape,peak_rmse,best_epoch,status
C01,s52-full-l12-p6,52,12,6,full,1,1,1,11.429182839604623,8.09366160629337,33.482166394224,13.68550048588034,38,done
C02,s52-full-l12-p3,52,12,3,full,1,1,1,8.795442998503495,5.9981298158900085,24.89227641254354,9.183545829550994,62,done
C03,s52-full-l24-p6,52,24,6,full,1,1,1,11.014611505760097,7.730702573318502,31.966416696920657,12.083437658193878,41,done_rerun
C04,s52-full-l24-p3,52,24,3,full,1,1,1,8.795545862676361,6.137317149910759,26.20526693135212,8.85057101817177,35,done
C05,s52-nodiff-l12-p6,52,12,6,no_diff,0,1,1,11.21723886016376,7.752687448282313,30.619898254393824,14.930613678278643,18,done_rerun
C06,s52-nodiff-l12-p3,52,12,3,no_diff,0,1,1,9.143160982161488,6.4964661089011075,28.046692291727794,8.839929202714076,19,done
C07,s52-nodiff-l24-p6,52,24,6,no_diff,0,1,1,11.0503602426963,7.972134805480958,33.576825196997696,13.655500601843283,15,done_rerun
C08,s52-nodiff-l24-p3,52,24,3,no_diff,0,1,1,8.79120317773727,5.949503092607854,25.203768232083007,9.58752691009274,26,done
