group,group_label,stratum,node_count,pe_score_mean,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,step4_6_rmse_avg_mean,step4_6_rmse_avg_std,step6_rmse_mean,step6_rmse_std,rmse_peak_mean,rmse_peak_std,mae_peak_mean,mae_peak_std
base_hw,No-PE backbone,all_nodes,95,0.6591928038680763,10.937954114677817,0.3353133965757687,7.561810958740584,0.1968055509534271,54.59359804315036,3.0108284108542884,12.681466515626584,0.4843413966940003,13.610031014166795,0.6095958147201938,13.829294964837842,1.0946862837492854,9.03762401658692,0.6961253903183566
base_hw,No-PE backbone,low_pe,32,0.6296577618146936,10.616954397172867,0.4205475971986904,7.236748042220459,0.21401639815302512,61.73989627325202,3.538542108481295,12.407489276390626,0.6131441962485876,13.401908708043443,0.7655746615121427,15.060839303035237,1.618913791054624,9.949281064031071,1.0129900532476142
base_hw,No-PE backbone,mid_pe,31,0.6588240977256529,10.45678874764746,0.3413123555748868,7.2322163943119975,0.18707672952773854,50.5413521546729,2.32506319968015,12.142986187310697,0.4995567044450973,13.061669906442868,0.6365596960772131,13.149549447790955,1.1043888471853731,8.605333578267867,0.692627945325449
base_hw,No-PE backbone,high_pe,32,0.6890850299969316,11.683867068761453,0.26637622731262284,8.206168609550906,0.20035230684926955,51.372913017511216,3.241417536872888,13.438542618225426,0.36136066567285813,14.316873060624596,0.44763662272780813,13.584162493673036,0.7578697947869626,8.840007128298714,0.5153482844449367
pe_loss,Real PE-guided loss,all_nodes,95,0.6591928038680763,11.102117100135017,0.14826561179842734,7.796641516502812,0.1331370300876832,60.2902721473319,3.3856985478451866,12.793908222628675,0.16062644835359874,13.683059179322202,0.15058990633834726,13.801033490609877,0.5895047373433832,9.020314841441133,0.4489270663778047
pe_loss,Real PE-guided loss,low_pe,32,0.6296577618146936,10.731075637777893,0.16674249875622177,7.452530426705891,0.12838316506637565,69.07955320246612,5.902067925981697,12.4740059546639,0.17275207144443147,13.437869468556533,0.11957868256549281,14.96563444493796,0.9739415011927959,9.880077065052937,0.7164050592566873
pe_loss,Real PE-guided loss,mid_pe,31,0.6588240977256529,10.581255742577099,0.11351017301585077,7.424610267205275,0.10198481858563524,55.735814037364605,2.7953291298044323,12.197305032762523,0.13703052824823792,13.0638062296117,0.17884503215686667,13.244509438292999,0.578871093342666,8.68809779920617,0.48808111324025
pe_loss,Real PE-guided loss,high_pe,32,0.6890850299969316,11.92865541473683,0.18552830400217452,8.501157879056722,0.16990466502555643,55.91312238622849,1.4926981556606205,13.6448859908843,0.21942138815487827,14.48794292304452,0.23096222989120602,13.508409308965712,0.3516095949186415,8.775142839155022,0.26240186645050767
pe_loss_shuffle,Shuffled PE-guided loss,all_nodes,95,0.6591928038680763,11.137128666743287,0.158793917298623,7.718009129121441,0.060815319693648354,55.241915152566804,3.851295032178777,12.89230813746444,0.25733631959185943,13.814072842665434,0.36373819365286897,13.798555671218324,0.9082959916189063,8.926211288395848,0.7527493454317568
pe_loss_shuffle,Shuffled PE-guided loss,low_pe,32,0.6296577618146936,10.769545927380994,0.18149751452943266,7.341796588789646,0.07152842859304398,61.660973612614214,5.4046817844441595,12.569489109824985,0.2924139742976019,13.561409550920766,0.41979147382041254,15.004829995624355,0.9235204471996089,9.744164974125468,0.8236733936008864
pe_loss_shuffle,Shuffled PE-guided loss,mid_pe,31,0.6588240977256529,10.648434864150984,0.24478197681377414,7.378242393307911,0.12037247329344565,51.12129435239729,3.2540719294449074,12.333879021420957,0.35078746299444,13.236716699624827,0.4496091133650109,13.255448104370975,0.9683890397478334,8.62498786328134,0.7549005675555811
pe_loss_shuffle,Shuffled PE-guided loss,high_pe,32,0.6890850299969316,11.932640691501808,0.0698409392370592,8.423370694772593,0.033287797051404854,52.81470809268361,3.1340531771825026,13.712928547263836,0.1441769314613948,14.589432113764586,0.23734368845099715,13.470175832519182,0.8788172519527019,8.681399077480778,0.7165570168918867
