消融类型,seed42_RMSE,seed42_MAE,seed52_RMSE,seed52_MAE,seed62_RMSE,seed62_MAE
full,11.07,7.67,11.01,7.73,11.68,8.70
no_diff,11.04,7.65,11.05,7.97,10.68,7.44
no_pe_graph,11.60,8.51,11.44,8.43,11.16,8.02
no_pe_film,12.06,8.87,11.60,8.14,12.49,9.38
