experiment_id,exp_label,seed,seq_len,pre_len,ablation,use_diffusion,use_pe_graph,use_pe_film,test_rmse,test_mae,test_mape,peak_rmse,best_epoch,status
C09,s62-full-l12-p6,62,12,6,full,1,1,1,12.369314210057814,9.24445450223697,40.24065284017133,13.11435992057239,15,done_rerun
C10,s62-full-l12-p3,62,12,3,full,1,1,1,8.722852421461262,5.863168775569137,24.520148118904807,9.627579151982431,60,done
C11,s62-full-l24-p6,62,24,6,full,1,1,1,11.679324241783714,8.702814776218279,36.2311375807012,14.041122606614048,18,done_rerun
C12,s62-full-l24-p3,62,24,3,full,1,1,1,8.556147604288906,5.786907886543318,23.89971557253326,9.321290774795584,53,done
C13,s62-nodiff-l12-p6,62,12,6,no_diff,0,1,1,11.128686966274747,7.635425061685395,32.07310241656533,12.546017168726367,32,done_rerun
C14,s62-nodiff-l12-p3,62,12,3,no_diff,0,1,1,8.831624295514997,5.980382832789665,25.22517360279458,9.711681060621821,31,done
C15,s62-nodiff-l24-p6,62,24,6,no_diff,0,1,1,10.680959114158332,7.441423502206627,30.04410844193793,13.429202040010805,20,done_rerun
C16,s62-nodiff-l24-p3,62,24,3,no_diff,0,1,1,8.792019231301834,5.998447580815151,25.021266322480308,9.697724812627747,29,done
