month,pollutant,mean,std,min,max,count
202201,O3,31.143752762568976,10.812633645929292,15.31508805330795,66.57617360496015,31
202201,PM10,82.82205759713028,25.074975478964543,41.78703286807744,139.11378848728248,31
202201,PM2.5,59.06273345501522,26.78086190832959,21.20747074707471,118.79821826280623,31
202202,O3,55.42409813581801,7.587468467882585,43.30428954423593,71.31211317418214,28
202202,PM10,54.21925360339767,27.51651332453877,23.767370272647316,120.7963620230701,28
202202,PM2.5,33.26905842916989,17.752563356136886,13.664028144239227,75.23636363636363,28
202203,O3,60.07658956487814,10.10864395567543,39.75400824553367,86.21310004486317,31
202203,PM10,95.08556130595089,46.2247069058235,31.966341895482728,190.3752236135957,31
202203,PM2.5,45.15999196792982,23.25208977936703,11.389160373167481,100.19822616407983,31
202204,O3,84.65400282810909,13.287296805058102,61.61889692585895,110.96611680784663,30
202204,PM10,85.4051546634186,37.815729582408714,29.71802841918295,161.4297777777778,30
202204,PM2.5,35.87872463982483,16.29819714673376,13.704131497112394,69.08038585209003,30
202205,O3,93.76506426915361,25.410657980877488,61.365240405822675,148.387153541575,31
202205,PM10,57.51367687758515,17.377736919289223,28.618077093486928,87.43772241992883,31
202205,PM2.5,24.584623522159934,8.56709002931622,12.204626334519572,47.853072128227964,31
202206,O3,115.86210822934346,25.423458412890735,82.92986425339366,166.07952021323857,30
202206,PM10,53.36292381075414,18.169440320861554,25.359786000891663,90.40727595385981,30
202206,PM2.5,25.455843213840936,9.563428269965291,8.411051212938006,41.99554565701559,30
202207,O3,96.94183380893467,11.524931694120287,72.16952209197476,125.80984340044743,31
202207,PM10,39.49923201108641,9.31911969750941,21.87556973564266,54.248966467615986,31
202207,PM2.5,20.38725512314566,4.981563674407564,11.037003610108304,30.673487544483987,31
202208,O3,78.75772239593317,20.024099473085762,46.31976744186046,108.94419642857143,31
202208,PM10,37.684916025201055,11.655310930017553,17.641986455981943,59.04600371747212,31
202208,PM2.5,20.450622523714788,8.740139397019835,7.882978723404255,35.76858407079646,31
202209,O3,87.21112552194946,20.715250822119934,53.339103417665335,119.39583333333333,30
202209,PM10,62.60147803076002,21.017104651530403,33.304231625835186,100.05572893446278,30
202209,PM2.5,27.71270356564764,12.398564398934706,7.767800453514739,48.613303769401334,30
202210,O3,49.11059397123881,12.845888041163935,27.91808712121212,82.41934046345811,31
202210,PM10,70.77455431387347,34.91252927132748,15.008888888888889,131.2194260485651,31
202210,PM2.5,38.218082466274524,23.10650134379144,6.982936686124831,83.62295805739514,31
202211,O3,34.64153005156337,8.534561851063478,20.688261081344375,52.575044404973355,30
202211,PM10,83.35655799767076,35.95977645360024,21.74628252788104,139.63861386138615,30
202211,PM2.5,50.27258579100132,29.412667184591864,11.704455227172474,108.88468388245771,30
202212,O3,34.668559761089206,10.98936559167649,20.38088768115942,57.95796460176991,31
202212,PM10,82.93847256008316,79.1859077921778,30.56611165523996,483.89084348218313,31
202212,PM2.5,34.82513626384212,20.39239809717957,9.641459074733095,102.11441241685144,31
