,O3,PM2.5,PM10
20221115,399,364,361
20221116,391,357,355
20221117,404,374,365
20221118,401,366,364
20221119,401,370,366
20221120,382,364,358
20221121,396,374,369
20221122,373,365,364
20221123,383,371,362
20221124,404,362,359
20221125,396,374,360
20221126,401,375,369
20221127,373,375,372
20221128,392,373,363
20221129,378,364,361
20221130,370,400,385
20221201,368,389,389
20221202,370,383,380
20221203,390,375,374
20221204,381,377,370
20221205,384,375,372
20221206,389,377,377
20221207,411,371,376
20221208,400,366,367
20221209,398,359,358
20221210,399,364,361
20221211,361,367,360
20221212,361,358,357
20221213,372,356,358
20221214,371,367,364
20221215,386,359,357
20221216,390,365,360
20221217,363,377,374
20221218,364,370,364
20221219,388,370,368
20221220,366,349,347
20221221,381,374,369
20221222,377,378,371
20221223,375,368,363
20221224,378,365,361
20221225,372,362,362
20221226,379,364,367
20221227,376,368,368
20221228,377,377,374
20221229,380,376,371
20221230,390,379,378
20221231,389,372,373
