experiment_id,exp_label,seed,seq_len,pre_len,ablation,use_diffusion,use_pe_graph,use_pe_film,test_rmse,test_mae,test_mape,peak_rmse,best_epoch,status
C01,s52-full-l12-p6,52,12,6,full,1,1,1,11.429182839604623,8.09366160629337,33.482166394224,13.68550048588034,38,done
C02,s52-full-l12-p3,52,12,3,full,1,1,1,8.795442998503495,5.9981298158900085,24.89227641254354,9.183545829550994,62,done
C03,s52-full-l24-p6,52,24,6,full,1,1,1,11.014611505760097,7.730702573318502,31.966416696920657,12.083437658193878,41,done
C04,s52-full-l24-p3,52,24,3,full,1,1,1,8.795545862676361,6.137317149910759,26.20526693135212,8.85057101817177,35,done
C05,s52-nodiff-l12-p6,52,12,6,no_diff,0,1,1,11.161476330254677,7.755681602360448,32.66213216491185,12.987177266961565,24,done
C06,s52-nodiff-l12-p3,52,12,3,no_diff,0,1,1,9.143160982161488,6.4964661089011075,28.046692291727794,8.839929202714076,19,done
C07,s52-nodiff-l24-p6,52,24,6,no_diff,0,1,1,10.879675283435656,7.724018706618076,32.061479202644676,13.743868656684025,14,done
C08,s52-nodiff-l24-p3,52,24,3,no_diff,0,1,1,8.79120317773727,5.949503092607854,25.203768232083007,9.58752691009274,26,done
C09,s62-full-l12-p6,62,12,6,full,1,1,1,13.929260863450292,11.11724173253576,50.14941560868535,12.476910520814291,13,done
C10,s62-full-l12-p3,62,12,3,full,1,1,1,8.722852421461262,5.863168775569137,24.520148118904807,9.627579151982431,60,done
C11,s62-full-l24-p6,62,24,6,full,1,1,1,11.973418186124622,9.069999106662342,38.47567480415919,13.273674639434333,19,done
C12,s62-full-l24-p3,62,24,3,full,1,1,1,8.556147604288906,5.786907886543318,23.89971557253326,9.321290774795584,53,done
C13,s62-nodiff-l12-p6,62,12,6,no_diff,0,1,1,11.133196549697566,7.588029548361329,31.738996666667962,12.944388005297625,39,done
C14,s62-nodiff-l12-p3,62,12,3,no_diff,0,1,1,8.831624295514997,5.980382832789665,25.22517360279458,9.711681060621821,31,done
C15,s62-nodiff-l24-p6,62,24,6,no_diff,0,1,1,10.896791265901223,7.4421340617019665,29.665507717265438,14.297099139514499,34,done
C16,s62-nodiff-l24-p3,62,24,3,no_diff,0,1,1,8.792019231301834,5.998447580815151,25.021266322480308,9.697724812627747,29,done
